recordCode,1,3,3
clientType,4,7,4
clientNumber,8,11,4
accountNumber,12,15,4
subAccountNumber,16,19,4
oppositePartyCode,20,25,6
productGroupCode,26,27,2
exchangeCode,28,31,4
symbol,32,37,6
expirationDate,38,45,8
currencyCode,46,48,3
movementCode,49,50,2
buySellCode,51,51,1
quantityLongSign,52,52,1
quantityLong,53,62,10
quantityShortSign,63,63,1
quantityShort,64,73,10
exchangeBrokerFee,74,85,12
exchangeBrokerFeeDC,86,86,1
exchangeBrokerFeeCurCode,87,89,3
clearingFee,90,101,12
clearingFeeDC,102,102,1
clearingFeeCurCode,103,105,3
commission,106,117,12
commissionDC,118,118,1
commissionCurCode,119,121,3
transactionDate,122,129,8
futureReference,130,135,6
ticketNumber,136,141,6
externalNumber,142,147,6
transactionPrice,148,162,15
traderInitials,163,168,6
oppositeTraderId,169,175,7
openCloseCode,176,176,1
